vals,stats,mu,model,order,r,s,demo
835,1.0833e-06,pi2_0_0_0_0,1e-08,4,5,1e-05,0,constant
836,2.5e-07,DD_0_0,1e-08,4,10,1e-05,0,constant
837,1.66665e-07,Dr_0_0_l_0,1e-08,4,10,1e-05,0,constant
838,0.00099999,Hl_0_0,1e-08,4,10,1e-05,0,constant
839,0.00099999,Hr_0_0,1e-08,4,10,1e-05,0,constant
840,1.0833e-06,pi2_0_0_0_0,1e-08,4,10,1e-05,0,constant
841,2.5e-07,DD_0_0,1e-08,4,20,1e-05,0,constant
842,1.66665e-07,Dr_0_0_l_0,1e-08,4,20,1e-05,0,constant
843,0.00099999,Hl_0_0,1e-08,4,20,1e-05,0,constant
844,0.00099999,Hr_0_0,1e-08,4,20,1e-05,0,constant
845,1.0833e-06,pi2_0_0_0_0,1e-08,4,20,1e-05,0,constant
846,2.5e-07,DD_0_0,1e-08,4,100,1e-05,0,constant
847,1.66665e-07,Dr_0_0_l_0,1e-08,4,100,1e-05,0,constant
848,0.00099999,Hl_0_0,1e-08,4,100,1e-05,0,constant
849,0.00099999,Hr_0_0,1e-08,4,100,1e-05,0,constant
850,1.0833e-06,pi2_0_0_0_0,1e-08,4,100,1e-05,0,constant
851,4.42483e-08,DD_0_0,1e-08,5,2,1e-04,0,constant
852,1.17976e-08,Dr_0_0_l_0,1e-08,5,2,1e-04,0,constant
853,0.00099999,Hl_0_0,1e-08,5,2,1e-04,0,constant
854,0.00099999,Hr_0_0,1e-08,5,2,1e-04,0,constant
855,1.00587e-06,pi2_0_0_0_0,1e-08,5,2,1e-04,0,constant
856,4.42483e-08,DD_0_0,1e-08,5,5,1e-04,0,constant
857,1.17976e-08,Dr_0_0_l_0,1e-08,5,5,1e-04,0,constant
858,0.00099999,Hl_0_0,1e-08,5,5,1e-04,0,constant
859,0.00099999,Hr_0_0,1e-08,5,5,1e-04,0,constant
860,1.00587e-06,pi2_0_0_0_0,1e-08,5,5,1e-04,0,constant
861,4.42483e-08,DD_0_0,1e-08,5,10,1e-04,0,constant
862,1.17976e-08,Dr_0_0_l_0,1e-08,5,10,1e-04,0,constant
863,0.00099999,Hl_0_0,1e-08,5,10,1e-04,0,constant
864,0.00099999,Hr_0_0,1e-08,5,10,1e-04,0,constant
865,1.00587e-06,pi2_0_0_0_0,1e-08,5,10,1e-04,0,constant
866,4.42483e-08,DD_0_0,1e-08,5,20,1e-04,0,constant
